,date,id,name,room_type_category,rate,latitude,longitude,daily_price,total_price
0,2024-08-20,30557346,Kitnet independente Vila Isabel,entire_home,"4,87 (77)",-22.91694,-43.2515,R$73 por noite,Total de R$103
1,2024-08-20,762998122800426110,Ótima localização e preço baixo!,entire_home,"4,92 (86)",-22.913618325230708,-43.19085504515731,"R$79 por noite, originalmente R$116",Total de R$159
2,2024-08-20,10336543,Suíte 2,entire_home,"4,5 (4)",-22.922155380249023,-43.20748519897461,R$95 por noite,Total de R$105
3,2024-08-20,40140158,"Kitnet Aconchegante em Benfica, RJ",entire_home,"4,91 (33)",-22.8903,-43.24026,R$94 por noite,Total de R$114
4,2024-08-20,1178574523261742246,Alugo Flat,entire_home,Novo,-22.89869083551905,-43.2355087790393,"R$97 por noite, originalmente R$118",Total de R$97
5,2024-08-20,27286419,Casa em Botafogo (Rio de Janeiro),entire_home,"4,91 (429)",-22.94949,-43.18555,R$102 por noite,Total de R$102
6,2024-08-20,1117551154637469797,Suíte Privativa próx de Madureira e Engenhão,entire_home,"5,0 (16)",-22.87405126137696,-43.31279335986711,R$103 por noite,Total de R$103
7,2024-08-20,1147312457662880086,Silencioso Todo Climatizado(3Ar) +1vaga+Lavanderia,entire_home,"4,71 (7)",-22.94216,-43.19185,"R$99 por noite, originalmente R$145",Total de R$348
8,2024-08-20,1146967414215425787,Suíte Privativa próx de Madureira/Engenhão,entire_home,"4,56 (18)",-22.87561,-43.3131,R$108 por noite,Total de R$108
9,2024-08-20,1171986780601762420,STudio recanto de Santa Teresa RJ,entire_home,Novo,-22.93104,-43.19757,R$109 por noite,Total de R$159
10,2024-08-20,827824510950167644,Ambiente familiar e acolhedor 2,entire_home,"4,93 (40)",-22.99439288080415,-43.23771025827105,R$114 por noite,Total de R$114
11,2024-08-20,785652927013622031,Apêzinho da Yana,entire_home,"4,74 (19)",-22.9146495,-43.1852203,R$117 por noite,Total de R$137
12,2024-08-20,660199480496474689,Flat Relax (205) 1 quarteirao da Praia,entire_home,"4,52 (85)",-22.983211,-43.191344,"R$123 por noite, originalmente R$204",Total de R$293
13,2024-08-20,1212272648720722535,Ipanema 305,entire_home,Novo,-22.98734,-43.1946,R$120 por noite,Total de R$205
14,2024-08-20,966658693170026257,CP01 - Studio Aconchegante à 2min. da Praia,entire_home,"4,82 (62)",-22.96911,-43.18485,"R$128 por noite, originalmente R$237",Total de R$228
15,2024-08-20,1204561841463560133,TG1. Studio Pé na Areia em Copacabana.,entire_home,"5,0 (7)",-22.970114531710045,-43.18362683057785,"R$128 por noite, originalmente R$246",Total de R$228
